INDTITLE,IND_2000
City ambulance combined with firefighting service,947
"City ambulance service, exc. combined with firefighting service",818
City animal shelter,909
City aquarium,857
City art gallery,857
City art museum,857
City ash removal,779
City auditorium operation,707
City auditorium rental,707
City bank PR,687
City bathhouse,859
City botanical garden,857
City bridge (const.),077
City bridge operation,629
City building \ n.s.,937
City building maintenance,939
City bus co.,618
City bus line,618
City bus line operation,618
City cemetery,908
City child nursery,847
City child support enforcement,947
"City childrens home--See ""Institution""",
City clinic,809
City college,787
City comfort station,909
City correctional institute,947
City day nursery,847
City detention home,829
City disability insurance,699
City disposal plant,068
City dock rental,707
City dog pound,909
City drainage (const.),077
City drawbridge,629
City dump,779
City economic development,957
City electric and gas utilities,059
City electric and water utilities,059
City electric light and power co.,057
City electric light co.,057
City electric power co.,057
City electric power plant,057
City electric railway,618
"City electric, gas and water utilities",059
City elementary school,786
City elevated railroad,618
City engineer's office,729
City fairgrounds,856
City ferryboat line,609
City filter plant,067
City fire station,947
City forest fire prevention,029
City garage,939
City garbage disposal plant,779
City garbage dump,779
City gas and water utilities,059
City gas distribution co.,058
City gas works,058
City grade school,786
City grammar school,786
"City groundskeeping, exc. parks",939
"City groundskeeping, parks",857
City harbor police,947
City high school,786
City highway (const.),077
City highway maintenance (const.),077
City highway police,947
City historical museum,857
"City home for the aged--See ""Institution""",
City hospital,819
City housing (const.),077
City housing rental,707
City incinerator,779
"City institution for care of aged--See ""Institution""",
"City institution for children--See ""Institution""",
"City institution for homeless--See ""Institution""",
City irrigation district,067
City irrigation system,067
City jail farm,017
City junior and senior high school,786
City junior college,787
City junior high school,786
City jury duty,947
City juvenile detention home,829
City juvenile home,829
City juvenile industrial home,829
City kindergarten,786
City landfill,779
City light and power co.,057
City maintenance (const.),077
"City maintenance, building",939
"City maintenance, sewer",068
"City maintenance, snow plowing",629
City malaria control,769
City market building,707
City meat inspection,957
City metro transportation,618
City morgue,948
City mosquito abatement,769
City mosquito control,769
City museum,857
City natural gas distribution,058
City newspaper,647
City nurse's office,808
City nursery school,847
City orphan home,829
City orphanage,829
City park,857
City parking lot,909
City parkway (const.),077
City personnel,939
City pier (const.),077
City pier operation and maintenance,629
City pier rental,707
City planning board \ n.s.,949
City planning board specified--Code by type of activity,
City playground,857
City police force,947
City police station,947
City port,629
City post office,637
City pound,909
City primary school,786
City probation office,947
City prosecuting attorney,947
City public bathhouse,859
City public library,677
City public park,857
City public scales,957
City public school,786
City public welfare,837
City public works \ any not listed,077
"City public works, groundskeeping",939
"City public works, street cleaning",629
City receiving home,947
City reformatory,947
City refuse disposal plant,779
City revenue,938
City road (const.),077
City road camp (const.),077
City road maintenance (const.),077
City road work (const.),077
City rodent control,769
City rubbish collection,779
City sanitarium,827
City school,786
City school bus,618
City school system,786
City secondary school,786
City senior high school,786
City sewage disposal,068
City sewer (const.),077
City sewer system,068
City sidewalk (const.),077
City snow plow,629
City snow removal,629
City social welfare,837
City social welfare clinic,837
City stadium operation,856
City street (const.),077
City street academy,786
City street car co.,618
City street cleaning department,629
City street grading (const.),077
City street light system,057
City street maintenance (const.),077
City street paving (const.),077
City street railway co.,618
City street sprinkling,629
City street sweeping,629
City subway,618
City swimming pool,859
City tax office,938
City teachers' college,787
City toy loan,859
City trackless trolley,618
City traction co.,618
City trailer park,707
City tramway,618
City transit co.,618
City trolley car,618
City trustee's office \ n.s.,937
City trustee's office specified--Code by type of industry reported,
City unemployment insurance,948
City university,787
City urban renewal planning  GOV,949
City urban renewal planning  PR,729
City visiting nurse,817
City vocation school,786
City vocational school,788
City voter registration,939
City waste water,068
City waterworks,067
City weed control,029
City wharf operation,629
City workhouse,947
City zoo,857
City zoological garden,857
City zoological park,857
Civic association,917
Civic organization,917
Civil engineer's office,729
"Civil engineer, consulting",729
Civil liberties organizations,917
Civil service school,789
"Claims processing services, insurance",699
Clam bouillon (mfg.),128
Clam broth (mfg.),128
Clam cannery (mfg.),128
Clam chowder (mfg.),128
Clam digging,028
Clam juice (mfg.),128
Clam products (mfg.),128
"Clamps, hose (mfg.)",288
"Clamps, metal (mfg.)",317
"Clamps, saw (mfg.)",317
Clamshell excavators (mfg.),308
"Clarifiers, sugar (mfg.)",319
"Clarifying machinery, mineral (mfg.)",308
Clarinet parts (mfg.),398
Clarinets (mfg.),398
"Clasps, shoe, leather (mfg.)",179
"Classifiers, mining machines (mfg.)",308
Clay (ext.),047
Clay brick (mfg.),248
"Clay construction materials, exc. refractory (whsl.)",409
Clay ground (mfg.),259
Clay pigeons (mfg.),397
Clay products (mfg.),248
Clay statuary (mfg.),247
Clay tile (mfg.),248
"Clay, modeling (mfg.)",398
"Clean and polish, contract service for auto dealers",878
"Cleaners, pipe (mfg.)",398
"Cleaners, vacuum, household (mfg.)",347
"Cleaners, vacuum, industrial (mfg.)",309
Cleaning and dyeing plant,907
Cleaning and pressing shop,907
Cleaning and reglazing baking pans,888
Cleaning bricks (const.),077
Cleaning building exteriors (const.),077
Cleaning building interiors,769
"Cleaning carpets, owners' premises and repairing plant",769
Cleaning establishment,907
Cleaning fur garments,907
"Cleaning machinery, fruit (mfg.)",307
"Cleaning machinery, grain (mfg.)",307
"Cleaning machinery, mineral (mfg.)",308
"Cleaning machinery, vegetable (mfg.)",307
Cleaning oil wells (ext.),049
"Cleaning plant, coal (ext.)",038
Cleaning preparations (mfg.),228
Cleaning railroad ballast,629
Cleaning railroad cars,629
Cleaning rice (mfg.),107
Cleaning rugs,769
"Cleaning service, home",769
Cleaning swimming pools,769
Cleaning tank trucks,779
Cleaning tissues (mfg.),189
"Clearance lamps, auto (mfg.)",357
"Clearance reflectors, auto (mfg.)",357
Clearing house,689
Clearing house association,689
Clearing house for freight bills,629
"Clearing house, commodity exchange",697
"Clearing house, security exchange",697
Cleavers (mfg.),279
Clergymen's vestments (mfg.),168
Clinical psychologists' offices or clinics,808
Clinics \ n.s.,809
Clinics of dentists,798
Clinics of physicians,797
"Clip cups, glass (mfg.)",249
Clippers \ any not listed (mfg.),279
"Clippers, barber (mfg.)",347
"Clippers, hair, hand powered, including animal (mfg.)",279
"Clippers, hand powered (mfg.)",279
"Clippers, hedge, electric (mfg.)",307
"Clippers, powered, animal (mfg.)",307
"Clipping service, press",678
Clock cases (mfg.),338
Clocks (mfg.),338
Clocks (ret.),519
Clocks (whsl.),429
"Closed captioning services, taped material",657
Closed circuit television,667
"Closet bowls, china (mfg.)",247
"Closet bowls, pottery (mfg.)",247
Cloth (whsl.),439
Cloth \ any not listed (mfg.),148
Cloth abrasive (mfg.),259
Cloth aprons (mfg.),168
Cloth bolting for textile distributors,778
Cloth cutting for textile distributors,778
Cloth lined paper (mfg.),189
"Cloth mending for the trade, exc. wool (mfg.)",149
"Cloth refinishing, exc. wool (mfg.)",149
"Cloth sponging, exc. wool (mfg.)",149
Cloth spreading machines (mfg.),319
Cloth winding for textile distributors,778
"Cloth winding reels, wooden (mfg.)",387
Cloth wire (mfg.),298
"Cloth, glass, varnished (mfg.)",149
"Cloth, knit (mfg.)",167
"Cloth, photographic, sensitized (mfg.)",229
Clothes and hat cleaning,907
Clothes cleaning plant,907
"Clothes drying frames, metal (mfg.)",298
"Clothes drying frames, wooden (mfg.)",387
"Clothes horses, wooden (mfg.)",387
"Clothes pins, plastic (mfg.)",237
"Clothes pins, wooden (mfg.)",387
"Clothes poles, metal (mfg.)",287
"Clothes poles, wooden (mfg.)",387
"Clothes racks, exc. wooden (mfg.)",389
"Clothes racks, wooden (mfg.)",387
"Clothes wringers, commercial (mfg.)",309
Clothing (ret.),517
Clothing (whsl.),439
Clothing accessories (ret.),517
Clothing alteration or repair without cleaning,888
"Clothing alteration, cleaning and repair shop",907
Clothing cleaning and repair service,888
Clothing contractors (mfg.),168
Clothing jobbers (mfg.),168
"Clothing pattern and plan, printing only (mfg.)",199
"Clothing patterns and plans, publishing",648
Clothing store (ret.),517
"Clothing, exc. knit (mfg.)",168
"Clothing, knit (mfg.)",167
"Clothing, used (ret.)",549
Cloud seeding,749
"Clubhouse, membership",917
"Clubhouse, recreational",859
"Clubhouse, residential",867
"Clutches, auto (mfg.)",357
"Clutches, exc. auto (mfg.)",318
Co-op apartment managment  PR NON,707
Co-op grain elevator (whsl.) PR NON,448
"Co-op, exc. residential--Code as wholesale trade by type of merchandise",
Coal (ext.),038
Coal (ret.),568
Coal (whsl.),418
Coal and feed (ret.),568
Coal and ice (ret.),568
Coal and wood (ret.),568
Coal barge,609
Coal breakers (mfg.),308
Coal breaking (ext.),038
"Coal by-products, coke oven (mfg.)",267
Coal chutes (mfg.),287
Coal cleaning plant (ext.),038
Coal colliery (ext.),038
Coal company (ret.),568
Coal crushing plant (ext.),038
Coal culm bank (ext.),038
Coal cutters (mfg.),308
Coal dock,629
Coal dredging (ext.),038
Coal operators' association,919
Coal pipeline,627
Coal pulverizers (mfg.),308
Coal screening plant (ext.),038
Coal shafts (ext.),038
Coal strip pit (ext.),038
Coal stripping (ext.),038
Coal tar acid (mfg.),229
Coal tar distillation (mfg.),229
Coal tar paving materials (mfg.),209
Coal tar products (whsl.),438
Coal tar roofing pitch (mfg.),209
Coal testing apparatus (mfg.),338
Coal tipple (ext.),038
Coal washery (ext.),038
"Coaster brakes, bicycle (mfg.)",369
Coat and apron supply,907
"Coat hangers, wooden (mfg.)",387
"Coat linings, exc. fur (mfg.)",169
"Coat linings, fur (mfg.)",168
Coat pads (mfg.),169
"Coat racks, metal (mfg.)",389
Coated paper (mfg.),189
"Coating compounds, tar (mfg.)",209
Coating machinery (mfg.),319
"Coating of fabrics, including rubberizing (mfg.)",149
Coating of metals (mfg.),289
"Coatings, chocolate (mfg.)",108
"Coatings, woolen fabrics (mfg.)",149
Coats (ret.),517
Coats (whsl.),439
"Coats, any kind (mfg.)",167
Cob pipes (mfg.),398
Cobalt (ext.),039
Cobbler's shop,889
Cocaine (mfg.),219
Cocktail lounge,869
Cocktail lounge and restaurant,868
"Cocktail shakers, glass (mfg.)",249
"Cocktail shakers, metal (mfg.)",398
"Cocktail shakers, plastic (mfg.)",237
"Cocktails, alcoholic beverage (mfg.)",137
"Cocktails, nonalcoholic (mfg.)",109
Cocoa (mfg.),108
Cocoa butter (mfg.),108
Cocoa products (mfg.),108
Coconut oil (mfg.),107
"Coconut, shredded (mfg.)",128
Cod catching,028
Codeine (mfg.),219
"Codfish, canned (mfg.)",128
"Codfish, dried (mfg.)",128
"Codfish, frozen (mfg.)",128
"Codfish, pickled (mfg.)",128
"Codfish, salted (mfg.)",128
"Codfish, smoked (mfg.)",128
Coffee (mfg.),128
Coffee (ret.),498
Coffee (whsl.),447
Coffee and doughnut shop (ret.),868
Coffee and tea (ret.),498
Coffee concentrates (mfg.),128
Coffee extracts (mfg.),128
Coffee flavorings (mfg.),128
Coffee grinding machines (mfg.),319
Coffee plantation,017
Coffee roasting (mfg.),128
Coffee roasting machines (mfg.),319
Coffee shop (ret.),868
Coffee shop and retail bakery,868
Coffee shop of hotel,866
"Coffee shop, motel (ret.)",868
Coffee sirups (mfg.),128
Coffee substitutes (mfg.),128
Coffee tables (mfg.),389
Coffee urns (whsl.),417
"Coffee urns, commercial (mfg.)",319
"Coffee urns, household (mfg.)",347
"Coffee, freeze dried (mfg.)",128
"Coffee, instant (mfg.)",128
"Coffee-break service provider, direct selling (ret.)",569
Cofferdam (const.),077
Coffins (mfg.),398
Coil winding shop,887
Coilers (mfg.),317
"Coils, electric (mfg.)",349
"Coils, ignition (mfg.)",357
"Coils, pipe (mfg.)",298
Coin changers (mfg.),309
Coin counters (mfg.),309
Coin dealer (ret.),558
Coin exchange shop (ret.),558
Coin operated laundry,907
Coin purses (mfg.),179
Coin wrapping machines (mfg.),309
Coin-machine rental service,719
"Coin-operated amusement machines, exc. phonographs (mfg.)",398
"Coin-operated amusement machines, phonographs (mfg.)",337
Coin-operated laundries,907
Coin-operated locks (mfg.),309
Coin-operated machine sales (ret.),567
"Coin-operated machines, amusement",859
"Coin-operated machines, photographic (mfg.)",309
Coin-operated phonograph parlor,859
Coin-operated phonographs (mfg.),337
Coin-operated scales,909
Coin-operated vending machine sales (ret.),567
Coin-operated vending machines (mfg.),309
Coin-operated vending machines (whsl.),417
"Coins, exc. mail order (ret.)",558
"Coins, mail order (ret.)",559
Coke (mfg.),267
Coke (whsl.),418
Coke oven (const.),077
Coke oven by-products (mfg.),267
Coke oven distillates (mfg.),267
"Coke oven, gas distribution",058
"Coke oven, gas production",058
Coke ovens (mfg.),267
Cold chisels (mfg.),279
Cold drink bottling (mfg.),137
Cold drink stand,868
Cold remedies (mfg.),219
Cold storage machinery (whsl.),426
Cold storage plant,639
Cold storage warehousing,639
Cold-rolled strip steel (mfg.),267
Colemanite (ext.),047
Collagen sausage casings (mfg.),118
"Collar and cuff sets, exc. knit (mfg.)",168
"Collar and cuff sets, knit (mfg.)",167
Collar buttons (mfg.),398
Collar leather (mfg.),179
Collar pads (mfg.),179
"Collars, apparel, exc. knit (mfg.)",168
"Collars, apparel, knit (mfg.)",167
"Collars, dog (mfg.)",179
"Collars, harness (mfg.)",179
"Collars, machine tool (mfg.)",317
"Collars, shaft (mfg.)",318
Collectible gift shops (ret.),557
"Collecting agency, cleaning and dyeing",907
"Collecting agency, laundry",907
"Collecting and delivering, dry cleaning",907
"Collection agency, exc. real estate",759
"Collection agency, real estate",759
Collective bargaining,918
"Collector's items, mail-order houses (ret.)",559
College,787
"College agricultural experimental station, exc. livestock",029
"College agricultural experimental station, livestock",018
College board preparation instruction,789
College cafeteria,868
College clearing house,909
College dining room,787
College dormitory,787
College entrance exam preparation instruction,789
College extension service,789
College hospital,819
College infirmary,809
College laundry,787
College library,787
College newspaper,647
College post office,637
College radio station,667
College security force,787
College stores operated by colleges or universities--Code as retail by merchandise,
College television station,667
"College, agricultural \ any not listed",787
Colliery (ext.),038
Cologne (mfg.),228
Colonic therapy,808
Color lithographing (mfg.),199
Color pigments (mfg.),229
Color printing (mfg.),199
Color separation for printing (mfg.),199
Color toners (mfg.),229
Colorimeters (mfg.),338
Coloring books (whsl.),429
Coloring of leather (mfg.),179
"Colorings, food, synthetic",229
Colors and pigments (whsl.),458
"Colors in oil, exc. artists' (mfg.)",227
"Colors, artists' (mfg.)",398
"Colors, confectioners, exc. synthetic (mfg.)",128
Columbarium,908
Columbite (ext.),039
"Columns, concrete (mfg.)",257
"Com--See ""Dot com""",
Comb mountings (mfg.),398
"Combat ships, building (mfg.)",368
"Combat ships, repairing (mfg.)",368
Combines (mfg.),307
"Combing machines, textile (mfg.)",319
"Combs, exc. metal (mfg.)",237
"Combs, metal (mfg.)",298
"Combs, rubber (mfg.)",239
Combustion gauges (mfg.),338
Comfort station,909
Comforts or comforters (mfg.),159
"Comic books, printing  (mfg.)",199
"Comic books, publishing",648
Commercial advertising co.,747
Commercial air conditioning co. (const.),077
Commercial air freight carriers,607
Commercial airlines,607
Commercial architect,729
"Commercial art co., exc. selling art",737
Commercial art school,788
Commercial art studio,737
Commercial artists' studio,737
Commercial bakery (mfg.),127
Commercial bank,687
Commercial building,707
Commercial building (const.),077
Commercial building operation,707
Commercial cable service,667
Commercial cartage co.,617
Commercial cleaning and pressing,907
Commercial cooking ranges (mfg.),309
Commercial corn popping machines (mfg.),319
Commercial credit and discount co.,689
Commercial dishwashing machines (mfg.),309
Commercial dishwashing machines (whsl.),417
Commercial dry cleaning,907
Commercial factors,689
Commercial financing agency,689
Commercial fishing,028
Commercial freight and trucking co.,617
Commercial hauling,617
Commercial laundry,907
Commercial laundry equipment (mfg.),309
Commercial laundry machinery (mfg.),309
Commercial machinery (whsl.),427
Commercial museum,857
Commercial note brokers' offices,697
Commercial painting (const.),077
Commercial paper dealing,697
Commercial paper discounting,689
Commercial paper factoring,689
Commercial photography studio,749
Commercial pilot boat,629
Commercial printing (mfg.),199
Commercial publishing co.,648
Commercial radio,667
Commercial real estate agencies,707
Commercial refrigeration equipment (whsl.),426
Commercial refrigeration repair,887
Commercial school,788
Commercial shipping dock,629
Commercial sign shop,747
Commercial stationery (ret.),548
Commercial steam pressure cookers (mfg.),309
"Commercial stoves, cooking (mfg.)",309
"Commercial tableware, china (mfg.)",247
"Commercial tableware, glass (mfg.)",249
Commercial television,667
Commercial transport,617
Commercial trucking,617
"Commercials, television, production",657
Commissary \ n.s. (ret.),497
"Commissary, specified type--Code as retail trade by type of merchandise",
"Commission house, finance",697
"Commission house, produce (whsl.)",447
Commission investment house,697
Commission merchant--Code as wholesale trade by type of merchandise,
Commodes (mfg.),389
"Commodity broker, finance",697
Commodity clearing house,697
Commodity contracts broker,697
Commodity contracts dealer,697
Commodity contracts trader,697
Commodity exchange,697
Commodity exchange clearing house,697
Commodity floor traders,697
Commodity futures,697
"Commodity inspection service, exc. transportation",749
Common carrier--Code as transportation by type of vehicle,
"Commonwealth--See ""State""",
Communication equipment (mfg.),337
Communication equipment (whsl.),419
Communication satellites (mfg.),337
Communications \ n.s.,669
"Communications, cellular exc. paging",669
"Communications, telephone co., exc. wireless",668
"Communications, telephone co., wireless",669
"Communications--Code by type--If no clues, but if employer name given refer.",
"Communion tables, cut stone (mfg.)",259
"Communion tables, exc. cut stone or marble (mfg.)",389
"Communion tables, marble (mfg.)",259
Communion wafers (mfg.),127
Community Chest,917
Community action agency,917
"Community antenna, TV",667
Community center,837
"Community center, recreation",859
"Community center, religious",916
Community college,787
Community currency exchange,697
Community foundations,917
Community fund raising agency,917
Community guidance service,837
"Community health center, outpatient",809
Community hospital,819
"Community meals, social services",838
Community membership club,917
Community planning council,837
Community progress center,837
Community service center,837
Commutators (mfg.),349
Commuter air carriers,607
Commuter rail systems,618
"Compact disc (CDs), pre-recorded (whsl.)",429
"Compact discs (i.e., CD-ROM) software, development",649
"Compact discs (i.e., CD-ROM) software, mass reproducing (mfg.)",339
"Compact discs, prerecorded (mfg.)",339
Compact disks (ret.),529
"Compacts, exc. leather (mfg.)",398
"Compacts, leather (mfg.)",179
Company store (ret.),539
Compasses (mfg.),338
Compensation consulting service,739
"Composition books, printing (mfg.)",199
Composition paving blocks (mfg.),209
Compound shortenings (mfg.),107
"Compounds, dental (mfg.)",396
Compress cotton,029
"Compressor station, natural gas",058
"Compressors, air conditioning (whsl.)",426
"Compressors, air or gas (mfg.)",319
Computer camp,788
Computer center,738
Computer chips (mfg.),339
Computer chips (whsl.),419
Computer code authors,738
Computer consultants,738
Computer data security,738
Computer data storage devices (mfg.),336
Computer dating service,909
Computer disk (mfg.),336
Computer equipment (ret.),479
"Computer equipment repair, exc. by retail stores",879
"Computer equipment, mail order (ret.)",559
Computer exc. games (mfg.),336
Computer facilities management service,738
"Computer forms, manifold or continuous, printing (mfg.)",199
Computer games (mfg.),397
"Computer games, prepackaged (mfg.)",339
Computer graphics,737
Computer hardware (mfg.),336
Computer hardware rental or leasing,719
Computer hardware repair training,788
Computer hardware services,879
"Computer hardware, exc. mail order (ret.)",479
"Computer hardware, mail order (ret.)",559
Computer library,677
Computer logic modules (mfg.),339
"Computer maintenance, exc. by retail stores",879
Computer operator training,788
Computer output to microfilm units (mfg.),336
Computer paper (whsl.),437
Computer paper tape punchers and devices (mfg.),336
Computer peripheral equipment (mfg.),336
Computer peripheral equipment (ret.),479
Computer peripheral equipment (whsl.),417
Computer photography or portraits,909
Computer printers (ret.),479
Computer printers (whsl.),417
Computer programing service,738
Computer repair training,788
"Computer repair, exc. by retail stores",879
Computer sales (whsl.),417
"Computer sales, exc. mail order (ret.)",479
"Computer sales, mail order (ret.)",559
Computer service bureau,738
Computer services,738
Computer software (whsl.),417
Computer software development,738
Computer software publishing and reproduction,649
Computer software services (installation and other),738
"Computer software tape and disks, blank (mfg.)",339
"Computer software tape and disks, rigid and floppy (mfg.)",339
Computer software training,788
"Computer software writers, free lance",738
"Computer software, exc. mail order (ret.)",479
"Computer software, mail order (ret.)",559
"Computer software, prepackaged (mfg.)",339
Computer tape recorders (mfg.),336
"Computer tapes, magnetic (mfg.)",339
Computer terminals (mfg.),336
Computer terminals (whsl.),417
Computer time leasing and rental,679
Computer time sharing,679
Computer tomography (CT-SCAN) center,818
Computer training or school,788
Computer video game rental,717
"Computer, desk top, publishing",759
Computer-aided design (CAD) systems service,738
Computer-aided engineering (CAE) systems design,738
Computer-aided manufacturing systems (CAM) service,738
Computerized axial tomography (CAT) equipment (whsl.),417
Computers (ret.),479
Computers (whsl.),417
Computers and office machines (i.e. calculators and computers)--Code as computers,
Computing machines (mfg.),309
Comsat satellite services,669
Concentrated milk (mfg.),117
Concentrated whey (mfg.),117
"Concentrator, metal (ext.)",039
Concert,856
Concert artists,856
Concert bureau,856
Concert management service,856
Concert organizations,856
Concertina parts (mfg.),398
Concertinas (mfg.),398
Concession stand,868
"Concession stand, airport",868
"Concession stand, amusement",859
"Concession stand, food",868
"Concession stand, live theater",856
"Concession stand, movie theater",657
"Concession stand, sports arena",868
"Concession stand, theater \ n.s.",657
"Concession, amusement devices",859
"Concession, amusement rides",859
"Concession, other specified type--Code by industry activity",
Conciliation service  PR,749
Concrete (const.),077
Concrete blocks (mfg.),257
Concrete blocks (ret.),487
Concrete building material (mfg.),257
Concrete cast stone (mfg.),257
Concrete catch basin covers (mfg.),257
Concrete contractors (const.),077
Concrete crossing slabs (mfg.),257
Concrete door frames (mfg.),257
Concrete dry mixture (mfg.),259
"Concrete forms, sheet metal (mfg.)",287
Concrete mixed in transit (mfg.),257
Concrete mixers (mfg.),308
Concrete monuments (mfg.),257
Concrete panels (mfg.),257
Concrete pipe (mfg.),257
Concrete processing equipment (whsl.),427
Concrete products (mfg.),257
Concrete products (whsl.),409
Concrete reinforcement contractors (const.),077
Concrete reinforcing bars (whsl.),418
Concrete roofing slabs (mfg.),257
Concrete roofing tile (mfg.),257
Concrete sections (mfg.),257
Concrete shower receptors (mfg.),257
Concrete sills (mfg.),257
Concrete silo staves (mfg.),257
Concrete silos (mfg.),257
Concrete window frames (mfg.),257
Concrete work (const.),077
"Concrete, asphaltic (mfg.)",209
"Concrete, dry mix",259
Condensate meters (mfg.),338
Condensed milk (mfg.),117
Condensed milk machinery (mfg.),319
Condensed whey (mfg.),117
Condenser boxes (mfg.),287
Condenser paper (mfg.),187
"Condensers, barometric (mfg.)",287
"Condensers, electrical (mfg.)",339
"Condensers, electronic (mfg.)",339
"Condensers, steam (mfg.)",287
"Condensing units, air conditioning (whsl.)",426
Condiments (mfg.),128
"Conditioners, pulp mill (mfg.)",319
Condom or prophylactic (mfg.),239
Condominium (const.),077
Condominium \ any not listed,707
"Condominium, rental",707
"Condominium, sales",707
Conduit (const.),077
"Conduit fittings, electrical (mfg.)",349
Conduit tile (mfg.),248
"Conduits, clay (mfg.)",248
"Conduits, concrete (mfg.)",257
"Conduits, electrical (mfg.)",349
"Conduits, fiber (mfg.)",189
"Conduits, heavy riveted (mfg.)",267
"Conduits, lock joint (mfg.)",267
"Conduits, welded (mfg.)",267
"Cones, earthenware (mfg.)",247
"Cones, fiber (mfg.)",188
"Cones, ice cream (mfg.)",127
Confectionery (mfg.),108
Confectionery (ret.),498
Confectionery (whsl.),447
"Confectionery boxes, cardboard (mfg.)",188
Confectionery machinery (mfg.),319
Confectionery store and soda fountain (ret.),498
"Conference center, hotel",707
Confetti (mfg.),189
Congoleum (mfg.),237
Congress of Industrial Organizations,918
"Connecting rods, auto (mfg.)",357
Connectors for electrical devices (mfg.),339
"Connectors, electric cord (mfg.)",349
"Connectors, electrical conductor (mfg.)",349
"Connectors, power (mfg.)",349
Conservation advocacy organizations,917
"Conservatory of music, college",787
"Conservatory of music, exc. college",789
"Consignment shops, used (ret.)",549
Console tables (mfg.),389
Consolidated school,786
Construction \ specified or n.s.,077
Construction camp,077
Construction co. garage,077
Construction equipment (whsl.),427
Construction lending,689
Construction machinery (mfg.),308
Construction machinery (whsl.),427
Construction materials (ret.),487
"Construction materials, exc. electrical (whsl.)",409
"Construction, carpentry work",077
"Construction, general contracting",077
Consulting \ any not listed,739
Consulting accounting,728
Consulting actuarys' office,739
Consulting architect's office,729
Consulting chemists' office,739
Consulting civil engineer's office,729
Consulting engineer's office,729
Consulting firm,739
Consulting service for policy holders,699
"Consulting, computer",738
Consumer credit reporting,759
Consumer electronic equipment stores (ret.),479
Contact lens insurance,699
Contact lenses (mfg.),396
Contact lenses (ret.),508
Contact lenses (whsl.),417
"Contacts, electrical conductor (mfg.)",339
Container board (mfg.),188
Containerized freight service,629
"Containers, can \ n.s. (mfg.)",287
"Containers, fiber (mfg.)",188
"Containers, glass (mfg.)",249
"Containers, industrial (whsl.)",427
"Containers, paper (whsl.)",437
"Containers, paperboard (mfg.)",188
"Containers, tin (mfg.)",287
"Containers, vulcanized fiber (mfg.)",188
Continuing care retirement communities,829
Contract farm services,029
Contract harvesting,029
"Contract services, coal (ext.)",049
"Contract services, metal (ext.)",049
"Contract services, oil (ext.)",049
"Contract, packaging",778
"Contractors plastering, plumbing, painting, etc.",077
Contractors' association,919
"Contractors, construction",077
"Contractors, general (const.)",077
"Contractors, insulation (const.)",077
"Control apparatus, electric (mfg.)",349
"Control equipment, automobile (mfg.)",357
"Control panels, electric (mfg.)",349
"Control systems, air (mfg.)",319
"Control systems, hydraulic (mfg.)",319
Control transformers (mfg.),349
Controlling instruments and accessories (whsl.),427
"Controls, industrial, electric (mfg.)",349
"Controls, liquid level (mfg.)",338
"Controls, resistance welder (mfg.)",349
"Controls, revolution instruments (mfg.)",338
"Controls, timing instruments (mfg.)",338
Convalescent center,827
Convalescent home exc. psychiatric,827
Convalescent hospital exc. psychiatric,827
Convalescent sanitarium,827
Convalescent sitting,827
Convalescent supply (ret.),508
Convenience store with gas (ret.),509
Convenience store without gas (ret.),497
"Convent, academy",786
"Convent, exc. academy",916
Convention centers,707
Convention decorators,737
Convention hall operation,707
"Convention managers, organizers, and promoters",778
"Converters, catalytic, automotive (mfg.)",357
"Converters, electrical (mfg.)",349
"Converters, frequency (mfg.)",349
"Converters, leather (mfg.)",179
"Converters, textile (mfg.)",149
Converting textiles (mfg.),149
"Conveying machinery, agricultural (mfg.)",319
"Conveying machinery, industrial (mfg.)",319
"Conveying systems, industrial (mfg.)",319
"Conveyor belting, rubber (mfg.)",239
"Conveyor belts, wire (mfg.)",298
"Conveyor equipment, industrial (mfg.)",319
Conveyor systems (whsl.),427
"Conveyors, agricultural (mfg.)",319
"Conveyors, farm (mfg.)",319
"Conveyors, industrial (mfg.)",319
Cookie shop (ret.),868
Cookies (mfg.),127
Cookies (whsl.),447
Cooking appliances (ret.),478
Cooking oils (mfg.),107
Cooking oils (whsl.),447
"Cooking ranges, commercial (mfg.)",309
"Cooking ranges, household (mfg.)",347
Cooking school,788
"Cooking utensils, all other metals (mfg.)",279
"Cooking utensils, cast aluminum (mfg.)",277
"Cooking utensils, cast iron (mfg.)",277
"Cooking utensils, glass (mfg.)",249
"Cooking ware, porcelain enameled (mfg.)",247
"Cooking ware, pottery (mfg.)",247
Coolers (mfg.),319
Coolers (whsl.),426
Cooling and heating of railroad cars,629
Cooling machinery (mfg.),319
"Cooling systems, aircraft (mfg.)",358
"Cooling towers, metal (mfg.)",287
"Cooling towers, wood (mfg.)",319
Cooper shop (mfg.),387
Cooperage (mfg.),387
Cooperage (whsl.),418
Cooperage stock (mfg.),387
Cooperative Life Insurance organizations PR NON,699
Cooperative Marketing Association--Code as wholesale trade by type of merchandise,
Cooperative bank PR NON,689
Cooperative credit association PR NON,689
Cooperative extension service,789
"Coopered pails, wooden (mfg.)",387
"Coopered tanks, wooden (mfg.)",387
"Coopered vats, wooden (mfg.)",387
"Copings, concrete (mfg.)",257
Copper (ext.),039
Copper (whsl.),418
Copper alloy strip (mfg.),269
Copper blocks (mfg.),269
Copper chloride (mfg.),229
Copper cloths (mfg.),298
Copper concentrating mill (ext.),039
Copper concentrator (ext.),039
